age,education,marital-status,relationship,sex,income
31.0,,Married-civ-spouse,Husband,Male,
35.0,HS-grad,Married-civ-spouse,Husband,Male,
39.0,,,Not-in-family,,
28.0,,Never-married,Not-in-family,Female,<=50K
24.0,HS-grad,Never-married,Not-in-family,Female,
38.0,HS-grad,Married-civ-spouse,,,
,Bachelors,Married-civ-spouse,,,
46.0,Assoc-acdm,Divorced,,,
38.0,Masters,,,,
43.0,,Married-civ-spouse,Husband,Male,<=50K
,Assoc-voc,,Wife,,<=50K
20.0,Some-college,Never-married,Own-child,,
49.0,Some-college,Married-civ-spouse,Husband,Male,
61.0,HS-grad,Married-civ-spouse,,Male,
27.0,Some-college,,,Female,<=50K
19.0,,Never-married,Own-child,Male,
45.0,Assoc-voc,Never-married,Not-in-family,,
70.0,Some-college,Never-married,,,
31.0,HS-grad,Never-married,Unmarried,,<=50K
22.0,,,Husband,,<=50K
36.0,,,,,<=50K
64.0,11th,,Husband,,<=50K
43.0,,Divorced,Not-in-family,,
47.0,Some-college,Divorced,Unmarried,Female,<=50K
34.0,HS-grad,Never-married,Not-in-family,Female,
33.0,,Never-married,Other-relative,Female,<=50K
21.0,,Never-married,Own-child,Male,<=50K
52.0,HS-grad,,Not-in-family,,
48.0,,Married-civ-spouse,Husband,Male,
23.0,,Never-married,,,
71.0,,Separated,Unmarried,,<=50K
29.0,HS-grad,Divorced,,,<=50K
42.0,,Separated,Other-relative,Male,<=50K
,,Divorced,,Female,
25.0,HS-grad,Never-married,,Female,
44.0,Masters,Divorced,Unmarried,,
,HS-grad,,Not-in-family,Female,<=50K
45.0,,Married-civ-spouse,Husband,,>50K
36.0,Some-college,,Unmarried,,<=50K
39.0,Assoc-acdm,Never-married,Not-in-family,Male,<=50K
46.0,Masters,Widowed,Unmarried,,<=50K
18.0,,,Own-child,,<=50K
66.0,,Widowed,Not-in-family,,<=50K
27.0,,Never-married,Not-in-family,Male,<=50K
28.0,HS-grad,,Husband,Male,<=50K
51.0,Some-college,Married-civ-spouse,Husband,,>50K
27.0,,,Not-in-family,,
28.0,Bachelors,Married-civ-spouse,Husband,Male,
27.0,HS-grad,Married-spouse-absent,Unmarried,,
21.0,,Never-married,Own-child,,
34.0,HS-grad,Never-married,,,
18.0,HS-grad,Never-married,Own-child,,<=50K
33.0,,Married-civ-spouse,Husband,Male,<=50K
44.0,Some-college,,Husband,Male,
43.0,Some-college,Divorced,Not-in-family,Female,
30.0,Some-college,Never-married,Not-in-family,Male,<=50K
40.0,7th-8th,Married-civ-spouse,Husband,,>50K
,Some-college,Married-civ-spouse,,Male,>50K
,HS-grad,Married-civ-spouse,Husband,Male,<=50K
41.0,Bachelors,Divorced,Not-in-family,,
53.0,Bachelors,Divorced,Not-in-family,Female,
31.0,,,Wife,,<=50K
58.0,Doctorate,Married-civ-spouse,Husband,Male,>50K
38.0,Some-college,,Not-in-family,Female,
24.0,Some-college,Married-civ-spouse,Husband,,<=50K
,,Married-civ-spouse,Husband,Male,<=50K
47.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
,,Married-civ-spouse,Husband,,<=50K
23.0,5th-6th,Married-civ-spouse,Other-relative,,
36.0,Some-college,,Not-in-family,Male,
,Masters,Never-married,Not-in-family,Female,>50K
35.0,Masters,,Other-relative,Male,>50K
24.0,,Never-married,Not-in-family,,<=50K
26.0,Masters,,Not-in-family,Female,<=50K
19.0,HS-grad,Never-married,,,<=50K
51.0,Bachelors,Married-civ-spouse,Husband,Male,
42.0,,,,Female,<=50K
37.0,,Divorced,Unmarried,,
18.0,,,,Female,<=50K
36.0,Bachelors,Married-civ-spouse,Husband,,>50K
35.0,HS-grad,,,Male,<=50K
,,Married-civ-spouse,Wife,Female,>50K
17.0,11th,,Own-child,Female,
44.0,,Married-civ-spouse,,,<=50K
37.0,HS-grad,,Husband,Male,>50K
35.0,,Never-married,Not-in-family,,
60.0,HS-grad,Married-civ-spouse,Husband,,<=50K
54.0,7th-8th,Married-civ-spouse,Husband,Male,>50K
37.0,,Never-married,Not-in-family,Male,>50K
50.0,,,Not-in-family,,
38.0,,Married-civ-spouse,Husband,Male,<=50K
45.0,Bachelors,Married-civ-spouse,Husband,,<=50K
25.0,10th,Never-married,,Male,<=50K
,,Married-civ-spouse,Husband,,<=50K
64.0,1st-4th,Divorced,Not-in-family,,<=50K
90.0,HS-grad,Never-married,Not-in-family,Male,<=50K
54.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
53.0,Preschool,Never-married,Not-in-family,,
18.0,,Never-married,Own-child,Female,<=50K
60.0,10th,Divorced,Not-in-family,Female,<=50K
66.0,HS-grad,Married-civ-spouse,Husband,Male,
75.0,,,Not-in-family,Female,
65.0,,Divorced,,Female,<=50K
35.0,11th,Separated,Not-in-family,,
41.0,HS-grad,Divorced,Unmarried,Female,
25.0,Some-college,Never-married,Not-in-family,,<=50K
33.0,Some-college,Divorced,Other-relative,,<=50K
28.0,,Never-married,Not-in-family,,
59.0,HS-grad,,Husband,Male,
40.0,Some-college,,,,<=50K
41.0,,Married-civ-spouse,,Male,
38.0,Masters,Married-civ-spouse,Husband,Male,>50K
23.0,,Never-married,Own-child,Male,
40.0,Bachelors,Married-civ-spouse,Husband,,>50K
,HS-grad,Married-civ-spouse,Wife,,<=50K
,Assoc-acdm,Married-civ-spouse,Husband,,
20.0,,Never-married,Own-child,Male,
38.0,Some-college,Divorced,Not-in-family,,<=50K
56.0,HS-grad,Married-civ-spouse,Husband,Male,
58.0,,Married-civ-spouse,Husband,Male,>50K
32.0,HS-grad,Never-married,,Female,
40.0,,Married-civ-spouse,Husband,Male,>50K
45.0,,Married-civ-spouse,,,
41.0,,Married-civ-spouse,,,>50K
42.0,Bachelors,Married-civ-spouse,,,
59.0,,Widowed,Unmarried,,<=50K
19.0,Some-college,Never-married,Own-child,Male,<=50K
58.0,Some-college,Never-married,Not-in-family,Male,
42.0,,Married-civ-spouse,,,
20.0,HS-grad,Never-married,Own-child,,
32.0,HS-grad,,Not-in-family,,<=50K
45.0,Assoc-voc,Widowed,,Female,<=50K
50.0,7th-8th,,Not-in-family,,
36.0,Bachelors,Divorced,Own-child,Female,<=50K
45.0,HS-grad,Married-civ-spouse,Husband,,
17.0,11th,Never-married,Own-child,,
59.0,,Married-civ-spouse,Husband,Male,<=50K
,,Married-civ-spouse,,Male,
37.0,Some-college,,Husband,Male,
19.0,,Never-married,Own-child,Male,<=50K
,,Married-civ-spouse,,,
33.0,Bachelors,Never-married,Not-in-family,,
33.0,HS-grad,Married-civ-spouse,,,>50K
61.0,HS-grad,Married-civ-spouse,Husband,,
17.0,9th,Never-married,Own-child,Male,<=50K
50.0,Masters,Married-civ-spouse,Husband,,
27.0,Masters,,,,<=50K
30.0,HS-grad,,Own-child,Female,
43.0,,,Husband,,<=50K
,Some-college,Married-civ-spouse,Husband,Male,>50K
35.0,,Never-married,Not-in-family,Female,
25.0,Some-college,Never-married,Own-child,Female,
24.0,Some-college,Married-civ-spouse,Wife,,>50K
22.0,,Never-married,Not-in-family,,<=50K
42.0,Some-college,Married-civ-spouse,,Male,>50K
34.0,Assoc-acdm,Divorced,Unmarried,,
60.0,Bachelors,Divorced,Not-in-family,,
21.0,HS-grad,Never-married,Own-child,,
57.0,,Married-civ-spouse,Husband,Male,
41.0,Prof-school,Married-civ-spouse,Husband,,>50K
50.0,Some-college,Divorced,Not-in-family,Male,<=50K
25.0,Bachelors,,Not-in-family,,
50.0,7th-8th,Married-civ-spouse,Husband,Male,<=50K
36.0,,Married-civ-spouse,Husband,Male,
31.0,HS-grad,Divorced,Not-in-family,,
29.0,Bachelors,Never-married,Not-in-family,,
,Some-college,Never-married,,,<=50K
27.0,Bachelors,,Unmarried,,
65.0,HS-grad,,Husband,Male,
37.0,,Divorced,Not-in-family,Female,<=50K
39.0,Masters,Married-civ-spouse,Wife,,<=50K
24.0,HS-grad,Never-married,Own-child,Male,<=50K
38.0,,,Not-in-family,Male,
48.0,Bachelors,Married-civ-spouse,Husband,,
21.0,Some-college,Never-married,Not-in-family,,<=50K
,,Married-civ-spouse,Husband,Male,>50K
55.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
24.0,Some-college,Married-civ-spouse,Wife,Female,<=50K
43.0,HS-grad,Divorced,Not-in-family,Female,<=50K
26.0,,Never-married,Not-in-family,,
46.0,Assoc-acdm,Never-married,Not-in-family,Female,<=50K
,,,Husband,,
41.0,Some-college,Married-civ-spouse,,Male,
26.0,Bachelors,Never-married,Not-in-family,,<=50K
34.0,Masters,Married-civ-spouse,Husband,Male,>50K
19.0,Some-college,Never-married,Own-child,Female,
36.0,Bachelors,Divorced,Not-in-family,Female,
22.0,,Never-married,,Male,
24.0,,Never-married,,Male,<=50K
77.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
22.0,5th-6th,,Other-relative,Female,
29.0,Some-college,Never-married,,Female,<=50K
62.0,,Widowed,Not-in-family,Female,<=50K
39.0,HS-grad,Married-civ-spouse,Husband,Male,
43.0,Some-college,,Husband,,
35.0,HS-grad,Divorced,Not-in-family,Male,
29.0,11th,Never-married,,,
76.0,Masters,Married-civ-spouse,Husband,Male,
63.0,,,Husband,,
23.0,Assoc-voc,Never-married,Own-child,Female,<=50K
43.0,Some-college,Married-civ-spouse,Wife,Female,
58.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
66.0,,,Not-in-family,,<=50K
41.0,,Never-married,Not-in-family,,<=50K
26.0,Bachelors,Never-married,,,
47.0,Assoc-voc,Never-married,Not-in-family,Male,<=50K
55.0,10th,Married-civ-spouse,Husband,,
53.0,,Married-civ-spouse,Husband,Male,
17.0,,Never-married,Other-relative,Male,<=50K
30.0,,Never-married,Other-relative,,<=50K
49.0,,Never-married,Not-in-family,Male,<=50K
19.0,HS-grad,,,Male,<=50K
45.0,,Married-civ-spouse,,Male,
26.0,Assoc-acdm,,Not-in-family,,
38.0,,Married-civ-spouse,Husband,Male,
36.0,HS-grad,Married-civ-spouse,Husband,,>50K
33.0,HS-grad,Never-married,Not-in-family,Male,<=50K
22.0,Some-college,,,Female,<=50K
43.0,,Never-married,Not-in-family,,
67.0,11th,Married-civ-spouse,Husband,Male,
30.0,Assoc-voc,Divorced,Unmarried,,<=50K
56.0,Assoc-acdm,Married-spouse-absent,,Male,
31.0,Bachelors,Never-married,Own-child,Male,<=50K
33.0,Bachelors,,Husband,Male,>50K
26.0,HS-grad,Married-civ-spouse,Husband,Male,
33.0,,,Husband,Male,>50K
46.0,11th,Married-civ-spouse,Husband,,
59.0,,Married-civ-spouse,,,>50K
38.0,HS-grad,,,,>50K
65.0,,Widowed,Unmarried,Male,<=50K
40.0,Assoc-voc,Married-civ-spouse,Husband,Male,
42.0,HS-grad,,Wife,Female,
26.0,9th,,Husband,,
36.0,10th,Married-civ-spouse,Wife,Female,
62.0,,,Husband,Male,
43.0,,Married-civ-spouse,Husband,Male,<=50K
43.0,Bachelors,,Not-in-family,Male,>50K
22.0,HS-grad,Married-spouse-absent,Not-in-family,Male,<=50K
28.0,,Married-civ-spouse,,Male,<=50K
56.0,,Married-civ-spouse,Husband,,<=50K
22.0,,,Not-in-family,Female,<=50K
,Bachelors,,,Female,
39.0,,Divorced,Unmarried,Female,<=50K
26.0,,Never-married,,,<=50K
17.0,11th,Never-married,Own-child,Male,<=50K
40.0,Assoc-voc,Married-civ-spouse,Husband,Male,
45.0,,Married-civ-spouse,Husband,Male,<=50K
44.0,HS-grad,Never-married,,Male,<=50K
20.0,,Never-married,Own-child,,
33.0,,Married-civ-spouse,,Female,
23.0,,Never-married,Not-in-family,Male,
,Masters,Divorced,Not-in-family,,<=50K
38.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
54.0,HS-grad,Divorced,Not-in-family,Male,<=50K
46.0,5th-6th,Divorced,Not-in-family,Female,<=50K
25.0,Some-college,,,Male,<=50K
46.0,Some-college,Divorced,Not-in-family,,<=50K
36.0,,Married-civ-spouse,Wife,,<=50K
23.0,,Never-married,Not-in-family,,
29.0,,,Not-in-family,,<=50K
44.0,Some-college,Married-civ-spouse,,Female,
19.0,Some-college,,Own-child,,
19.0,,,Other-relative,Female,
35.0,HS-grad,Married-civ-spouse,,Female,>50K
27.0,Bachelors,,,Male,<=50K
46.0,Assoc-acdm,Separated,Not-in-family,,
34.0,Bachelors,,Husband,,
34.0,HS-grad,Never-married,Not-in-family,,<=50K
44.0,,Married-civ-spouse,,Male,<=50K
45.0,,Divorced,Unmarried,,
20.0,HS-grad,Never-married,Other-relative,Female,
,Bachelors,Married-civ-spouse,Husband,Male,>50K
52.0,,Married-civ-spouse,Husband,Male,>50K
20.0,,Never-married,Own-child,Male,<=50K
28.0,Some-college,Never-married,Not-in-family,Female,
50.0,Bachelors,,Husband,,>50K
34.0,,Divorced,Not-in-family,Female,<=50K
28.0,,Married-civ-spouse,Husband,,
41.0,,Married-civ-spouse,Husband,,
28.0,HS-grad,Married-civ-spouse,,Male,
46.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
28.0,,Married-civ-spouse,,,
32.0,Some-college,Married-civ-spouse,,Male,
41.0,,,Not-in-family,Female,<=50K
24.0,HS-grad,Never-married,Unmarried,Female,
33.0,Some-college,,Unmarried,,
46.0,Doctorate,Married-civ-spouse,Husband,Male,
31.0,,Married-civ-spouse,,,
35.0,12th,,,,>50K
52.0,1st-4th,Married-civ-spouse,Husband,Male,
,11th,Never-married,Own-child,Female,
34.0,11th,Separated,Not-in-family,Male,
34.0,HS-grad,Divorced,Unmarried,Female,
20.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
17.0,11th,Never-married,Own-child,Male,<=50K
32.0,Bachelors,Married-civ-spouse,,Female,
29.0,HS-grad,Divorced,Not-in-family,Male,<=50K
33.0,10th,Never-married,Unmarried,,<=50K
25.0,HS-grad,Married-civ-spouse,,,<=50K
36.0,,Never-married,Not-in-family,Male,
,,,,Male,<=50K
63.0,HS-grad,Married-civ-spouse,Husband,,>50K
47.0,Masters,Married-civ-spouse,Husband,,
80.0,,Widowed,Not-in-family,,
17.0,11th,Never-married,Own-child,Male,
40.0,Bachelors,Married-spouse-absent,Not-in-family,,
30.0,Assoc-acdm,,Wife,,>50K
27.0,Some-college,,Own-child,,
33.0,,Married-civ-spouse,Husband,,
34.0,,Never-married,Not-in-family,Male,<=50K
34.0,,Never-married,,Female,<=50K
23.0,Some-college,Married-civ-spouse,Husband,,
42.0,Some-college,Married-civ-spouse,Wife,,<=50K
29.0,Bachelors,Never-married,Not-in-family,Male,
45.0,HS-grad,Divorced,Not-in-family,Female,
24.0,HS-grad,Never-married,,,
44.0,Some-college,Married-civ-spouse,Husband,Male,
27.0,,Never-married,Other-relative,Male,
20.0,,Never-married,,,<=50K
44.0,,Widowed,Unmarried,Female,
51.0,HS-grad,Married-civ-spouse,,Male,
20.0,,Married-civ-spouse,,,
17.0,11th,Never-married,Own-child,Female,
,HS-grad,Never-married,Own-child,,
45.0,Some-college,Married-civ-spouse,Husband,Male,>50K
60.0,HS-grad,Married-civ-spouse,Husband,,>50K
42.0,,,Husband,Male,
44.0,,Married-civ-spouse,Wife,,
40.0,Assoc-voc,Married-civ-spouse,Husband,,>50K
30.0,HS-grad,Married-civ-spouse,Wife,Female,<=50K
,Some-college,Married-civ-spouse,Husband,,<=50K
23.0,HS-grad,Married-civ-spouse,Husband,,
32.0,Some-college,Married-civ-spouse,Husband,,<=50K
44.0,Assoc-acdm,Never-married,,,
54.0,,Married-civ-spouse,Husband,Male,<=50K
32.0,Bachelors,,Husband,Male,
50.0,1st-4th,Married-spouse-absent,,Male,<=50K
24.0,Bachelors,Never-married,Not-in-family,Female,
37.0,HS-grad,Married-civ-spouse,Wife,Female,
,HS-grad,,,Male,<=50K
38.0,,Married-civ-spouse,Husband,Male,
49.0,,,,,>50K
30.0,,Married-civ-spouse,Wife,Female,>50K
60.0,Some-college,Never-married,Unmarried,,
22.0,,,Own-child,,<=50K
35.0,,Never-married,,Male,<=50K
30.0,,,,Male,
67.0,,Divorced,Not-in-family,,<=50K
46.0,Bachelors,,Not-in-family,Female,
17.0,,Never-married,,Male,<=50K
22.0,Some-college,Never-married,Own-child,Male,<=50K
27.0,10th,Never-married,Not-in-family,Male,
23.0,,Never-married,Unmarried,Female,
33.0,Assoc-acdm,Married-civ-spouse,Husband,,
43.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
28.0,,Never-married,Not-in-family,Male,
41.0,,Married-spouse-absent,Unmarried,,
52.0,12th,Never-married,,,
25.0,,,Own-child,Female,<=50K
63.0,,,,Male,
59.0,HS-grad,Married-civ-spouse,,,
45.0,,Divorced,,Female,
,,Married-civ-spouse,Husband,Male,
40.0,,Never-married,Not-in-family,,
46.0,,Divorced,Not-in-family,Male,
35.0,,Never-married,,Female,
34.0,HS-grad,Divorced,,Female,<=50K
33.0,Bachelors,Never-married,Own-child,,<=50K
41.0,HS-grad,Divorced,Unmarried,,<=50K
,Some-college,Never-married,Own-child,,
23.0,,Never-married,Own-child,Male,
26.0,Some-college,Never-married,Not-in-family,Female,
,HS-grad,Married-civ-spouse,Husband,Male,
23.0,HS-grad,Never-married,Not-in-family,Male,<=50K
62.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
52.0,,Married-civ-spouse,Husband,Male,<=50K
58.0,,,Unmarried,Female,<=50K
,Bachelors,Never-married,Not-in-family,,<=50K
24.0,,,Not-in-family,,
19.0,,Never-married,,Male,<=50K
43.0,Some-college,Married-civ-spouse,Husband,Male,
,HS-grad,Separated,Unmarried,,
39.0,HS-grad,Divorced,Unmarried,,<=50K
,Assoc-voc,Married-spouse-absent,Unmarried,,
53.0,5th-6th,Widowed,Unmarried,,<=50K
32.0,,,Not-in-family,,<=50K
34.0,Some-college,,Husband,,>50K
28.0,,Divorced,Not-in-family,,
57.0,,,Unmarried,Female,<=50K
,Some-college,Never-married,Not-in-family,,
20.0,Some-college,Never-married,Own-child,Male,<=50K
21.0,Some-college,,Unmarried,,<=50K
34.0,,Married-civ-spouse,Husband,Male,>50K
38.0,Bachelors,Married-civ-spouse,Husband,Male,
50.0,HS-grad,,Husband,Male,>50K
24.0,Some-college,Divorced,,Male,<=50K
37.0,,Married-civ-spouse,Husband,,>50K
44.0,Some-college,,Unmarried,Male,>50K
28.0,Some-college,Married-civ-spouse,,,<=50K
42.0,,,Husband,,
74.0,,Divorced,Not-in-family,Female,<=50K
38.0,,,,,
,,Married-civ-spouse,Husband,,
,11th,,Unmarried,Female,<=50K
26.0,HS-grad,Never-married,Not-in-family,Male,
36.0,HS-grad,Married-civ-spouse,Husband,,<=50K
41.0,Assoc-acdm,,Wife,,
67.0,Prof-school,,,,>50K
39.0,12th,Married-civ-spouse,Husband,,<=50K
57.0,1st-4th,,,,
29.0,Assoc-voc,Separated,Not-in-family,Male,
31.0,Bachelors,Never-married,,Female,
34.0,HS-grad,Never-married,,Female,
44.0,,Married-civ-spouse,Husband,Male,<=50K
29.0,Doctorate,Never-married,Own-child,,<=50K
30.0,Some-college,Never-married,Unmarried,Female,<=50K
27.0,HS-grad,Never-married,Not-in-family,Male,<=50K
27.0,Some-college,Married-civ-spouse,Husband,Male,
32.0,HS-grad,Never-married,Not-in-family,Female,<=50K
58.0,10th,Married-civ-spouse,Wife,,<=50K
,,Married-civ-spouse,Husband,,
21.0,HS-grad,Never-married,Own-child,,<=50K
28.0,Some-college,Never-married,Unmarried,Male,<=50K
,Some-college,,Not-in-family,Male,<=50K
36.0,HS-grad,Separated,Unmarried,Female,<=50K
72.0,11th,Widowed,Unmarried,,
35.0,HS-grad,Married-civ-spouse,Wife,Female,<=50K
33.0,,Divorced,Unmarried,Female,
69.0,11th,Never-married,,,
35.0,HS-grad,Married-civ-spouse,Husband,,
31.0,,Separated,Unmarried,Female,
34.0,HS-grad,,Wife,,<=50K
30.0,,Married-civ-spouse,Husband,,<=50K
28.0,,Never-married,Not-in-family,Male,<=50K
54.0,Bachelors,Married-civ-spouse,,,>50K
47.0,,Married-civ-spouse,Husband,Male,
24.0,HS-grad,Never-married,Unmarried,Female,<=50K
,,Married-civ-spouse,Husband,,
20.0,HS-grad,Never-married,Own-child,Male,<=50K
43.0,,Married-civ-spouse,Husband,,<=50K
45.0,7th-8th,Separated,Unmarried,,<=50K
29.0,HS-grad,Separated,Not-in-family,Male,
47.0,Masters,Divorced,,Male,
24.0,HS-grad,,,,
51.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
17.0,,Never-married,Own-child,Male,<=50K
37.0,,Married-civ-spouse,Husband,,
27.0,Doctorate,,Not-in-family,Female,<=50K
29.0,,Married-civ-spouse,,Male,>50K
,,Never-married,Own-child,,<=50K
,Assoc-acdm,Divorced,Unmarried,Female,
58.0,Bachelors,Never-married,Not-in-family,Female,
26.0,Some-college,Married-civ-spouse,Husband,Male,
65.0,Some-college,Married-civ-spouse,Husband,Male,>50K
57.0,HS-grad,Married-civ-spouse,Husband,,>50K
59.0,HS-grad,,,Male,<=50K
27.0,,Married-civ-spouse,Husband,,
31.0,Bachelors,Never-married,Not-in-family,,<=50K
21.0,Some-college,Never-married,,Female,
29.0,Some-college,Never-married,Not-in-family,,
18.0,11th,Never-married,Own-child,Male,
52.0,10th,Married-civ-spouse,Husband,Male,>50K
57.0,,Divorced,Not-in-family,Male,<=50K
42.0,,Married-civ-spouse,Husband,,<=50K
55.0,HS-grad,Married-civ-spouse,Wife,,<=50K
60.0,,Never-married,Not-in-family,Male,
31.0,Bachelors,Married-civ-spouse,Husband,,>50K
23.0,Bachelors,Never-married,Own-child,,
27.0,HS-grad,Never-married,Own-child,Male,<=50K
23.0,Some-college,Never-married,Unmarried,Female,
42.0,Prof-school,,Husband,,>50K
25.0,,,Not-in-family,,<=50K
49.0,Bachelors,,Not-in-family,,<=50K
32.0,Bachelors,Never-married,,Male,<=50K
19.0,,,,Male,
